WE12 at 20% dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,site,arrive,depart,lat,long,,,,,,,,,,,,,,,,,,,,,,
8/4/2014,WE12,12:48,13:17,41 42.157,83 15.781,,,,,,,,,,,,,,,,,,,,,,
Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Ch1 Peak,Ch2 Peak,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Date,Diameter (ABD),Diameter (ESD),Edge Gradient,Elongation,Image File,Intensity,Length,Perimeter,Roughness,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
17,106528.94,106528.94,0.4,433.26,435.83,1.01,0,0.53,0.64,1.88,8/5/2014,368.29,468.79,42.14,3.62,WE12at20%dilutionRepF_000001.tif,89.96,623.36,1642.13,1.09,0.57,14:02:29,2014-08-05T18:02:29.470,0.21,2.62E+07,5.39E+07,269.18
18,631.87,631.87,0.29,433.26,435.83,1.01,0.36,0.52,0.48,1.93,8/5/2014,28.36,44.25,152.25,3.81,WE12at20%dilutionRepF_000001.tif,165.35,67.2,181.99,1.07,0.23,14:02:29,2014-08-05T18:02:29.470,0.36,1.19E+04,4.54E+04,13.47
19,81840.74,81840.74,0.27,349.61,330.87,0.95,0,0.48,0.48,2.1,8/5/2014,322.8,443.62,45.98,4.37,WE12at20%dilutionRepF_000001.tif,84.55,638.95,1530.57,1.07,0.75,14:02:29,2014-08-05T18:02:29.590,0.27,1.76E+07,4.57E+07,173.33
20,74752.94,74752.94,0.53,325.7,374.55,1.15,0.09,0.5,0.67,1.99,8/5/2014,308.51,390.44,56.34,4,WE12at20%dilutionRepF_000001.tif,82.64,482.35,1426.39,1.13,0.29,14:02:30,2014-08-05T18:02:30.005,0.21,1.54E+07,3.12E+07,273.25
21,6210.77,6210.77,0.67,325.7,374.55,1.15,0.55,0.74,0.88,1.36,8/5/2014,88.93,99.17,166.33,1.66,WE12at20%dilutionRepF_000001.tif,128.55,118.02,374.19,1.09,0.4,14:02:30,2014-08-05T18:02:30.005,0.1,3.68E+05,5.11E+05,75.59
22,1248.17,1248.17,0.98,325.7,374.55,1.15,0.95,0.97,1,1.03,8/5/2014,39.87,41.48,234.92,1,WE12at20%dilutionRepF_000001.tif,79.72,42.52,169.86,1.05,0.92,14:02:30,2014-08-05T18:02:30.005,0.04,3.32E+04,3.74E+04,39.91
23,1393.36,1393.36,0.92,302.83,261.27,0.86,0.89,0.96,0.99,1.04,8/5/2014,42.12,44.48,161.19,1,WE12at20%dilutionRepF_000001.tif,99.98,49.48,177.51,1.04,0.8,14:02:30,2014-08-05T18:02:30.084,0.05,3.91E+04,4.61E+04,39.91
24,1261.29,1261.29,0.87,302.83,261.27,0.86,0.85,0.92,0.98,1.09,8/5/2014,40.07,43.3,134.43,1,WE12at20%dilutionRepF_000001.tif,74.21,50.6,175.06,1.05,0.8,14:02:30,2014-08-05T18:02:30.084,0.07,3.37E+04,4.25E+04,36.96
25,1466.66,1466.66,0.38,224.98,0.75,0,0.42,0.62,0.64,1.61,8/5/2014,43.21,56.31,134.18,2.7,WE12at20%dilutionRepF_000001.tif,132.9,79.03,225.53,1.08,0.63,14:02:31,2014-08-05T18:02:31.021,0.23,4.23E+04,9.35E+04,26.08
26,10143.58,10143.58,0.64,224.98,0.75,0,0.63,0.85,0.91,1.18,8/5/2014,113.65,120.55,80.25,1,WE12at20%dilutionRepF_000001.tif,99.3,147.56,433.73,1.06,0.93,14:02:31,2014-08-05T18:02:31.021,0.06,7.69E+05,9.17E+05,91.34
27,13351.55,13351.55,0.72,316.23,269.1,0.85,0.66,0.79,0.92,1.26,8/5/2014,130.38,140.15,154.65,1,WE12at20%dilutionRepF_000001.tif,67.87,159.9,506.42,1.07,0.64,14:02:31,2014-08-05T18:02:31.507,0.07,1.16E+06,1.44E+06,118.27
28,37613.69,37613.69,0.55,449.77,370.15,0.82,0.38,0.68,0.81,1.48,8/5/2014,218.84,246.79,37.23,2.18,WE12at20%dilutionRepF_000001.tif,105.34,290.19,885.92,1.1,0.78,14:02:32,2014-08-05T18:02:32.129,0.11,5.49E+06,7.87E+06,155.56
29,48165.9,48165.9,0.69,398.11,356.56,0.9,0.47,0.71,0.88,1.4,8/5/2014,247.64,271.89,34.42,1.88,WE12at20%dilutionRepF_000001.tif,111.87,310.74,971.15,1.1,0.48,14:02:32,2014-08-05T18:02:32.646,0.09,7.95E+06,1.05E+07,215.63
30,31850.83,31850.83,0.38,288.86,256.69,0.89,0,0.57,0.58,1.77,8/5/2014,201.38,251.83,37.57,3.24,WE12at20%dilutionRepF_000001.tif,137.18,331.7,896.32,1.09,0.29,14:02:32,2014-08-05T18:02:32.808,0.2,4.28E+06,8.36E+06,139.36
31,21847.99,21847.99,0.04,147.65,103.61,0.7,0,0.09,0.06,11.38,8/5/2014,166.79,576.97,104.48,33.73,WE12at20%dilutionRepF_000001.tif,145.19,897.33,1908.87,1.04,0.18,14:02:32,2014-08-05T18:02:32.922,0.71,2.43E+06,1.01E+08,39.91
32,22568.94,22568.94,0.73,147.65,103.61,0.7,0.68,0.73,0.94,1.38,8/5/2014,169.52,181.03,32.19,1.75,WE12at20%dilutionRepF_000001.tif,128.42,203.52,673.73,1.12,0.82,14:02:32,2014-08-05T18:02:32.922,0.06,2.55E+06,3.11E+06,152.49
33,62515.47,62515.47,0.58,385.01,348.24,0.9,0.34,0.68,0.83,1.46,8/5/2014,282.13,310.2,46.89,2.13,WE12at20%dilutionRepF_000001.tif,109.94,361.48,1122.56,1.12,0.47,14:02:33,2014-08-05T18:02:33.733,0.09,1.18E+07,1.56E+07,223.22
34,2878.98,2878.98,0.7,50.91,0.75,0.01,0.73,0.84,0.93,1.19,8/5/2014,60.54,65.48,106.82,1,WE12at20%dilutionRepF_000001.tif,148.71,77.83,253.06,1.07,0.67,14:02:34,2014-08-05T18:02:34.177,0.08,1.16E+05,1.47E+05,53.25
35,1866.67,1866.67,0.74,50.91,0.75,0.01,0.65,0.77,0.89,1.31,8/5/2014,48.75,55,181.42,1.38,WE12at20%dilutionRepF_000001.tif,91.14,60.69,222.78,1.09,0.38,14:02:34,2014-08-05T18:02:34.177,0.11,6.07E+04,8.71E+04,45.6
36,11943.28,11943.28,0.4,242.92,180.47,0.74,0.23,0.62,0.67,1.61,8/5/2014,123.32,150.77,56.43,2.69,WE12at20%dilutionRepF_000001.tif,115.61,202.03,544.95,1.08,0.77,14:02:34,2014-08-05T18:02:34.319,0.18,9.82E+05,1.79E+06,73.15
37,17767.14,17767.14,0.77,249.71,180.83,0.72,0.63,0.7,0.92,1.42,8/5/2014,150.41,167.51,63.25,1.96,WE12at20%dilutionRepF_000001.tif,131.66,185.59,613.58,1.1,0.68,14:02:34,2014-08-05T18:02:34.446,0.1,1.78E+06,2.46E+06,138.92
38,29606.64,29606.64,0.47,289.43,221.9,0.77,0.08,0.51,0.64,1.96,8/5/2014,194.16,241.36,179.08,3.88,WE12at20%dilutionRepF_000001.tif,75.88,288.86,911.31,1.15,0.44,14:02:34,2014-08-05T18:02:34.772,0.2,3.83E+06,7.36E+06,156.09
39,1300.74,1300.74,0.74,85.6,0.75,0.01,0.81,0.94,0.95,1.06,8/5/2014,40.7,43.63,44.34,1,WE12at20%dilutionRepF_000001.tif,207.25,52.34,174.76,1.04,0.83,14:02:34,2014-08-05T18:02:34.879,0.07,3.53E+04,4.35E+04,34
40,2360.45,2360.45,0.67,85.6,0.75,0.01,0.7,0.82,0.91,1.22,8/5/2014,54.82,60.68,73.01,1,WE12at20%dilutionRepF_000001.tif,162.4,75.58,236.34,1.07,0.8,14:02:34,2014-08-05T18:02:34.879,0.1,8.63E+04,1.17E+05,42.87
41,3486.21,3486.21,0.76,176.26,155.4,0.88,0.76,0.8,0.94,1.25,8/5/2014,66.62,73.16,53.44,1,WE12at20%dilutionRepF_000001.tif,104.46,82.99,281.2,1.08,0.8,14:02:35,2014-08-05T18:02:35.248,0.09,1.55E+05,2.05E+05,56.25
42,5506.37,5506.37,0.59,311.29,229.45,0.74,0.49,0.68,0.82,1.47,8/5/2014,83.73,97.82,152.68,2.17,WE12at20%dilutionRepF_000001.tif,76.12,118.02,370.01,1.09,0.5,14:02:35,2014-08-05T18:02:35.610,0.14,3.07E+05,4.90E+05,71.52
43,23152.79,23152.79,0.57,252.68,195.25,0.77,0.25,0.49,0.75,2.03,8/5/2014,171.69,213.76,58.85,4.12,WE12at20%dilutionRepF_000001.tif,132.97,277.75,827.28,1.18,0.37,14:02:35,2014-08-05T18:02:35.754,0.2,2.65E+06,5.11E+06,158.99
44,7020,7020,0.56,229.9,0.75,0,0.37,0.64,0.72,1.57,8/5/2014,94.54,116.37,215.7,2.54,WE12at20%dilutionRepF_000001.tif,86.91,147.19,424.66,1.07,0.39,14:02:35,2014-08-05T18:02:35.822,0.19,4.42E+05,8.25E+05,81.14
45,25981.92,25981.92,0.9,165.5,0.75,0,0.64,0.71,0.93,1.41,8/5/2014,181.88,202.18,117.43,1.9,WE12at20%dilutionRepF_000001.tif,87.97,214.53,727.77,1.09,0.61,14:02:35,2014-08-05T18:02:35.927,0.1,3.15E+06,4.33E+06,183.38
46,4539.72,4539.72,0.67,190.32,130.18,0.68,0.66,0.85,0.9,1.18,8/5/2014,76.03,83.74,104.62,1,WE12at20%dilutionRepF_000001.tif,128.1,102.24,305.26,1.04,0.74,14:02:36,2014-08-05T18:02:36.165,0.09,2.30E+05,3.07E+05,63.57
47,7065.99,7065.99,0.81,260.25,237.72,0.91,0.76,0.82,0.96,1.22,8/5/2014,94.85,101.7,46.55,1,WE12at20%dilutionRepF_000001.tif,138.44,115.22,375.92,1.07,0.76,14:02:36,2014-08-05T18:02:36.676,0.07,4.47E+05,5.51E+05,87.01
48,23591.03,23591.03,0.52,314.37,0.75,0,0.04,0.49,0.68,2.03,8/5/2014,173.31,210.04,167.46,4.12,WE12at20%dilutionRepF_000001.tif,56.75,252.82,834.32,1.21,0.58,14:02:36,2014-08-05T18:02:36.766,0.17,2.73E+06,4.85E+06,146.28
49,35193.29,35193.29,0.94,215.87,96.14,0.45,0.74,0.79,0.97,1.27,8/5/2014,211.68,224.92,133.45,1,WE12at20%dilutionRepF_000001.tif,64.43,241.31,797.41,1.08,0.69,14:02:37,2014-08-05T18:02:37.076,0.06,4.97E+06,5.96E+06,213.35
50,1015.23,1015.23,0.23,169.46,157.87,0.93,0.28,0.54,0.43,1.87,8/5/2014,35.95,55.33,187.57,3.59,WE12at20%dilutionRepF_000001.tif,116.65,82.48,211.56,1.04,0.76,14:02:37,2014-08-05T18:02:37.339,0.35,2.43E+04,8.87E+04,12.36
51,1641.6,1641.6,0.87,169.46,157.87,0.93,0.81,0.74,0.96,1.35,8/5/2014,45.72,52.08,154.48,1.61,WE12at20%dilutionRepF_000001.tif,92.72,61.11,215.13,1.1,0.77,14:02:37,2014-08-05T18:02:37.339,0.12,5.00E+04,7.39E+04,44.72
52,4354.02,4354.02,0.81,177.65,140.84,0.79,0.82,0.89,0.97,1.12,8/5/2014,74.46,78.33,33.35,1,WE12at20%dilutionRepF_000001.tif,174.33,88.3,292.42,1.06,0.88,14:02:37,2014-08-05T18:02:37.588,0.05,2.16E+05,2.52E+05,67.53
53,2283.2,2283.2,0.91,177.65,140.84,0.79,0.88,0.94,0.99,1.06,8/5/2014,53.92,56.68,108.77,1,WE12at20%dilutionRepF_000001.tif,110.9,63.53,217.88,1.04,0.83,14:02:37,2014-08-05T18:02:37.588,0.05,8.21E+04,9.54E+04,51.74
54,10417.65,10417.65,0.61,189.2,138.91,0.73,0.55,0.73,0.87,1.37,8/5/2014,115.17,128.06,141.56,1.73,WE12at20%dilutionRepF_000001.tif,114.12,152.93,472.68,1.09,0.74,14:02:37,2014-08-05T18:02:37.838,0.1,8.00E+05,1.10E+06,93.13
55,1235.07,1235.07,0.98,92.79,0.75,0.01,0.94,0.97,1,1.03,8/5/2014,39.66,41.33,183,1,WE12at20%dilutionRepF_000001.tif,62.56,43.18,168.85,1.05,0.91,14:02:38,2014-08-05T18:02:38.360,0.04,3.27E+04,3.70E+04,39.83
56,5581.83,5581.83,0.77,92.79,0.75,0.01,0.78,0.87,0.96,1.15,8/5/2014,84.3,89.14,82.01,1,WE12at20%dilutionRepF_000001.tif,112.65,102.09,328.61,1.06,0.84,14:02:38,2014-08-05T18:02:38.360,0.05,3.14E+05,3.71E+05,74.6
57,2339.36,2339.36,0.88,92.79,0.75,0.01,0.9,0.95,0.99,1.05,8/5/2014,54.58,56.67,56.88,1,WE12at20%dilutionRepF_000001.tif,94.32,61.64,218.6,1.05,0.85,14:02:38,2014-08-05T18:02:38.360,0.04,8.51E+04,9.53E+04,51.48
58,5990.52,5990.52,0.81,173.17,152.37,0.88,0.82,0.91,0.98,1.1,8/5/2014,87.33,90.66,30.38,1,WE12at20%dilutionRepF_000001.tif,170.95,102.21,332.08,1.05,0.9,14:02:38,2014-08-05T18:02:38.683,0.04,3.49E+05,3.90E+05,78.35
59,1873.54,1873.54,0.86,173.17,152.37,0.88,0.87,0.93,0.98,1.08,8/5/2014,48.84,51.45,30.07,1,WE12at20%dilutionRepF_000001.tif,173.62,57.07,202.59,1.05,0.81,14:02:38,2014-08-05T18:02:38.683,0.05,6.10E+04,7.13E+04,45.83
60,4495.1,4495.1,0.9,58.9,0.75,0.01,0.82,0.85,0.97,1.17,8/5/2014,75.65,81.06,47.93,1,WE12at20%dilutionRepF_000001.tif,131.04,90.69,302.51,1.06,0.83,14:02:39,2014-08-05T18:02:39.489,0.07,2.27E+05,2.79E+05,73.7
61,631.87,631.87,0.28,58.9,0.75,0.01,0.41,0.58,0.51,1.73,8/5/2014,28.36,41.96,23.34,3.12,WE12at20%dilutionRepF_000001.tif,203.22,64.42,172.31,1.06,0.85,14:02:39,2014-08-05T18:02:39.489,0.32,1.19E+04,3.87E+04,12.11
62,16372.06,16372.06,0.16,55.63,0.75,0.01,0,0.08,0.06,12.01,8/5/2014,144.38,490.32,196.46,35.69,WE12at20%dilutionRepF_000001.tif,149.8,734.72,1716.55,1.09,0.31,14:02:39,2014-08-05T18:02:39.598,0.71,1.58E+06,6.17E+07,128.61
63,1386.72,1386.72,0.97,55.63,0.75,0.01,0.96,1,1,1,8/5/2014,42.02,43.41,236.12,1,WE12at20%dilutionRepF_000001.tif,61.75,44.88,172.31,1.03,0.9,14:02:39,2014-08-05T18:02:39.598,0.03,3.88E+04,4.28E+04,39.91
64,1307.33,1307.33,0.94,55.63,0.75,0.01,0.94,0.97,1,1.03,8/5/2014,40.8,42.4,184.1,1,WE12at20%dilutionRepF_000001.tif,118.86,44.12,172.31,1.05,0.97,14:02:39,2014-08-05T18:02:39.598,0.04,3.56E+04,3.99E+04,39.91
65,2936.37,2936.37,0.96,151.18,136.74,0.9,0.95,0.95,1,1.05,8/5/2014,61.14,62.86,146.54,1,WE12at20%dilutionRepF_000001.tif,94.08,64.42,239.5,1.05,0.94,14:02:39,2014-08-05T18:02:39.661,0.03,1.20E+05,1.30E+05,60.61
66,18289.47,18289.47,0.28,151.18,136.74,0.9,0,0.34,0.44,2.94,8/5/2014,152.6,221.04,51.21,7.09,WE12at20%dilutionRepF_000001.tif,143.73,307.21,893.34,1.23,0.19,14:02:39,2014-08-05T18:02:39.661,0.31,1.86E+06,5.65E+06,101.23
67,4770.78,4770.78,0.43,78.5,0.75,0.01,0.3,0.59,0.66,1.68,8/5/2014,77.94,98.54,134.37,2.95,WE12at20%dilutionRepF_000001.tif,103.28,126.43,372.04,1.09,0.45,14:02:39,2014-08-05T18:02:39.980,0.21,2.48E+05,5.01E+05,54.7
68,1990.71,1990.71,0.97,78.5,0.75,0.01,0.95,0.97,1,1.03,8/5/2014,50.35,51.92,154.08,1,WE12at20%dilutionRepF_000001.tif,93.88,53.45,202.59,1.05,0.94,14:02:39,2014-08-05T18:02:39.980,0.03,6.68E+04,7.33E+04,48.78
69,1702.66,1702.66,0.58,78.5,0.75,0.01,0.61,0.71,0.82,1.41,8/5/2014,46.56,56.06,102.52,1.91,WE12at20%dilutionRepF_000001.tif,131.22,71.8,223.5,1.08,0.59,14:02:39,2014-08-05T18:02:39.980,0.17,5.29E+04,9.22E+04,39.83
70,2579.47,2579.47,0.83,90.27,81.17,0.9,0.63,0.62,0.88,1.6,8/5/2014,57.31,68.67,101.84,2.66,WE12at20%dilutionRepF_000001.tif,152.53,77.83,280.89,1.14,0.45,14:02:40,2014-08-05T18:02:40.730,0.17,9.86E+04,1.70E+05,56.74
71,6951.05,6951.05,0.85,90.27,81.17,0.9,0.76,0.77,0.96,1.3,8/5/2014,94.08,104.79,29.46,1.31,WE12at20%dilutionRepF_000001.tif,151.57,118.39,384.17,1.07,0.75,14:02:40,2014-08-05T18:02:40.730,0.1,4.36E+05,6.03E+05,87.96
72,20093.94,20093.94,0.48,33.68,0.75,0.02,0.27,0.58,0.72,1.73,8/5/2014,159.95,191.49,33.91,3.13,WE12at20%dilutionRepF_000001.tif,106.56,234.75,716.66,1.13,0.48,14:02:40,2014-08-05T18:02:40.809,0.16,2.14E+06,3.68E+06,123.03
73,2707.46,2707.46,0.9,33.68,0.75,0.02,0.91,0.96,0.99,1.04,8/5/2014,58.71,60.68,69.85,1,WE12at20%dilutionRepF_000001.tif,160.27,64.25,231.14,1.04,0.9,14:02:40,2014-08-05T18:02:40.809,0.03,1.06E+05,1.17E+05,56.1
74,26144.85,26144.85,0.62,176.96,0.75,0,0.43,0.62,0.85,1.62,8/5/2014,182.45,209.23,85.89,2.71,WE12at20%dilutionRepF_000001.tif,124.01,260.62,781.82,1.13,0.5,14:02:41,2014-08-05T18:02:41.082,0.13,3.18E+06,4.80E+06,157.35
75,6759.76,6759.76,0.72,176.96,0.75,0,0.75,0.88,0.95,1.13,8/5/2014,92.77,97.62,45.52,1,WE12at20%dilutionRepF_000001.tif,136.93,116.09,354.72,1.05,0.89,14:02:41,2014-08-05T18:02:41.082,0.05,4.18E+05,4.87E+05,79.39
76,8461.29,8461.29,0.86,0.75,48.37,64.6,0.61,0.65,0.94,1.54,8/5/2014,103.79,117.98,113.16,2.44,WE12at20%dilutionRepF_000001.tif,107.78,135.66,457.08,1.14,0.58,14:02:41,2014-08-05T18:02:41.181,0.12,5.85E+05,8.60E+05,97.3
77,4080.29,4080.29,0.7,0.75,48.37,64.6,0.58,0.59,0.84,1.7,8/5/2014,72.08,89.85,31.08,3.02,WE12at20%dilutionRepF_000001.tif,145.18,113.07,350.12,1.12,0.52,14:02:41,2014-08-05T18:02:41.181,0.2,1.96E+05,3.80E+05,70.61
78,3253.71,3253.71,0.84,174.53,161.96,0.93,0.86,0.92,0.98,1.08,8/5/2014,64.36,67.46,182.22,1,WE12at20%dilutionRepF_000001.tif,81.29,73.28,253.78,1.05,0.89,14:02:41,2014-08-05T18:02:41.966,0.05,1.40E+05,1.61E+05,58.31
79,11864.39,11864.39,0.63,346.87,308.24,0.89,0.56,0.67,0.87,1.49,8/5/2014,122.91,138.54,164.19,2.24,WE12at20%dilutionRepF_000001.tif,73.93,168.27,522.43,1.12,0.68,14:02:42,2014-08-05T18:02:42.969,0.11,9.72E+05,1.39E+06,108.18
80,5695.16,5695.16,0.53,121.27,0.75,0.01,0.47,0.76,0.8,1.32,8/5/2014,85.15,97.66,77.26,1.45,WE12at20%dilutionRepF_000001.tif,122.01,121.51,355.02,1.05,0.56,14:02:43,2014-08-05T18:02:43.153,0.13,3.23E+05,4.88E+05,63.65
81,1313.92,1313.92,0.97,5.03,0.75,0.15,0.85,0.88,0.98,1.14,8/5/2014,40.9,44.46,71.65,1,WE12at20%dilutionRepF_000001.tif,180.23,47.96,181.69,1.07,0.81,14:02:43,2014-08-05T18:02:43.313,0.08,3.58E+04,4.60E+04,41.2
82,5453.59,5453.59,0.12,5.03,0.75,0.15,0,0.16,0.12,6.07,8/5/2014,83.33,212.77,229.42,17.01,WE12at20%dilutionRepF_000001.tif,138.24,325.05,747.85,1.07,0.43,14:02:43,2014-08-05T18:02:43.313,0.61,3.03E+05,5.04E+06,41.34
83,18651.43,18651.43,0.71,360.09,326.34,0.91,0.64,0.8,0.92,1.24,8/5/2014,154.1,165.52,190.8,1,WE12at20%dilutionRepF_000001.tif,56.84,193.15,586.46,1.06,0.73,14:02:43,2014-08-05T18:02:43.424,0.07,1.92E+06,2.37E+06,128.61
84,11029.78,11029.78,0.52,306.43,238.66,0.78,0.23,0.55,0.67,1.8,8/5/2014,118.51,149.59,66.83,3.37,WE12at20%dilutionRepF_000001.tif,79.86,190.72,556.18,1.11,0.27,14:02:44,2014-08-05T18:02:44.142,0.21,8.71E+05,1.75E+06,101.08
85,2979.47,2979.47,0.97,547.6,559.58,1.02,0.96,0.97,1,1.04,8/5/2014,61.59,63.05,116.59,1,WE12at20%dilutionRepF_000001.tif,70.97,65.01,239.5,1.05,0.95,14:02:44,2014-08-05T18:02:44.647,0.02,1.22E+05,1.31E+05,60.61
86,28102.61,28102.61,0.64,403.63,387.29,0.96,0.59,0.82,0.91,1.21,8/5/2014,189.16,201.28,159.29,1,WE12at20%dilutionRepF_000001.tif,52.61,244.95,700.35,1.06,0.87,14:02:44,2014-08-05T18:02:44.972,0.06,3.54E+06,4.27E+06,154.37
87,19989.04,19989.04,0.51,274.45,238.19,0.87,0.28,0.6,0.73,1.66,8/5/2014,159.53,188.17,47.64,2.86,WE12at20%dilutionRepF_000001.tif,117.07,229.93,699.22,1.12,0.34,14:02:45,2014-08-05T18:02:45.643,0.15,2.13E+06,3.49E+06,134.95
88,7104.32,7104.32,0.74,193.72,169.46,0.87,0.6,0.64,0.88,1.56,8/5/2014,95.11,109.88,82.57,2.51,WE12at20%dilutionRepF_000001.tif,129.14,125.82,425.67,1.13,0.54,14:02:45,2014-08-05T18:02:45.862,0.13,4.50E+05,6.95E+05,92.93
89,3001.04,3001.04,0.97,181.54,174.53,0.96,0.96,0.96,1,1.04,8/5/2014,61.81,63.29,169.46,1,WE12at20%dilutionRepF_000001.tif,80.03,65.01,241.23,1.05,0.92,14:02:46,2014-08-05T18:02:46.175,0.02,1.24E+05,1.33E+05,60.61
90,8740.48,8740.48,0.57,181.54,174.53,0.96,0.35,0.49,0.78,2.03,8/5/2014,105.49,136.06,93.24,4.14,WE12at20%dilutionRepF_000001.tif,133.6,175.56,532.11,1.16,0.44,14:02:46,2014-08-05T18:02:46.175,0.22,6.15E+05,1.32E+06,88.17
